Product,Description,Barcode,Colour,Size,Brand,Hierachy,UOM,SRP,Trade Price,Vat Code,Vat Rate,Web Friendly Description,Image Filename,Stock Flag,Pack Contents,Division Code,Discontinued Flag,Supersession Code,Unit Price,Country of Origin,Break Qty 1,Break Price 1,Break Qty 2,Break Price 2,Break Qty 3,Break Price 3,Break Qty 4,Break Price 4,Break Qty 5,Break Price 5
012 AD02-7,SPRE WH7850C24 spoke 302 mm RH,4.52467E+12,black,302mm,Shimano Spares,FPWHAF,Each,3.99,2.33,NOR,20,WH-7850 spoke 302 mm,shimanospareslogo,Y,1,SHM,N,012 AD02-G,2.33,MY,1,2.33,1,0,1,0,1,0,1,0
012 AN84-7,SPRE WHRS20AF spoke 284mm BK,4.52467E+12,black,284mm,Shimano Spares,FPWHAF,Each,4.99,2.91,NOR,20,"WH-RS20-A-F spoke, 284 mm, black",shimanospareslogo,Y,1,SHM,Y,,2.91,MY,1,2.91,1,0,1,0,1,0,1,0
012 Y335-2,SPRE WHS500 nipple,4.52467E+12,black,one size,Shimano Spares,FPWHAF,Each,2.99,1.74,NOR,20,WH-S500 nipple,shimanospareslogo,Y,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
012 Y434-1,SPRE WHR500F nipple,4.52467E+12,black,one size,Shimano Spares,FPWHAF,Each,2.99,1.74,NOR,20,WH-R500 front nipple,shimanospareslogo,Y,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
012 Z407,SPRE WHRS10 nipple SR,4.52467E+12,silver,one size,Shimano Spares,FPWHAF,Each,1.99,1.16,NOR,20,"WH-RS10 nipple, silver",shimanospareslogo,Y,1,SHM,Y,,1.16,MY,1,1.16,1,0,1,0,1,0,1,0
012 Z407-5,SPRE WHRS10 nipple BK,4.52467E+12,black,one size,Shimano Spares,FPWHAF,Each,1.99,1.16,NOR,20,"WH-RS10 nipple, black",shimanospareslogo,N,1,SHM,N,,1.16,MY,1,1.16,1,0,1,0,1,0,1,0
045 9801,SPRE Chain Pin 7/8 spd Pk3,4.52467E+12,black,one size,Shimano,FPTRAE,Pack of 3,7.49,3.54,NOR,20,"7 / 8-speed connecting pin for Shimano chains, pack of 3",045-9801,Y,1,SHM,N,,3.19,JP,1,3.19,1,0,1,0,1,0,1,0
10K 1145-D,SPRE CSM750 Sprkt 9 spd 11T,4.52467E+12,silver,11T,Shimano Spares,FPTRAB,Each,16.99,9.91,NOR,20,CS-M750 sprocket 9-speed 11T,10K1145-D,Y,1,SHM,N,,9.91,JP,1,9.91,1,0,1,0,1,0,1,0
10P 1300-1,SPRE CSHG50/70 13T sprckt,4.52467E+12,silver,13T,Shimano Spares,FPTRAB,Each,9.99,5.83,NOR,20,CS-HG50 / HG70 sprocket 13T,10P1300-1,N,1,SHM,Y,,5.83,JP,1,5.83,1,0,1,0,1,0,1,0
10R 0300,SPRE CS7700 Sprkt Spcr 2.56mm,4.52467E+12,silver,2.56mm,Shimano Spares,FPTRAB,Each,3.99,2.33,NOR,20,CS-7700 Sprocket Spacer 9-Speed 2.56 mm,10r0300,Y,1,SHM,N,,2.33,JP,1,2.33,1,0,1,0,1,0,1,0
10R 1300-B,SPRE CS6500 Sprkt 9 spd 13T,4.52467E+12,silver,13T,Shimano Spares,FPTRAB,Each,9.99,5.83,NOR,20,CS-6500 sprocket 9-speed 13T,1DR1300-B,Y,1,SHM,Y,,5.83,JP,1,5.83,1,0,1,0,1,0,1,0
10Z 0400,SPRE CSM737 Lockring Spacer,4.52467E+12,silver,one size,Shimano Spares,FPTRAB,Each,1.99,1.16,NOR,20,CS-M737 lockring spacer,10Z0400,Y,1,SHM,N,,1.16,JP,1,1.16,1,0,1,0,1,0,1,0
130 0404-1,TOOL TLCN26 pins,4.52467E+12,black,one size,Shimano Workshop,FWTOAD,Each,55.99,32.67,NOR,20,Rivet pins for 9-speed TL-CN26,shimanospareslogo,Y,1,SHM,N,,32.67,JP,1,32.67,1,0,1,0,1,0,1,0
130 9819,TOOL TLCN27 Chain tool pin,4.52467E+12,black,one size,Shimano Workshop,FWTOAD,Each,13.99,8.16,NOR,20,TL-CN27 chain tool pin,130-9819,Y,1,SHM,N,,8.16,TW,1,8.16,1,0,1,0,1,0,1,0
155 0700,SPRE C/Arm Bolt,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,Crank arm bolt,shimanospareslogo,Y,1,SHM,N,,1.74,SG,1,1.74,1,0,1,0,1,0,1,0
16P 9801,SPRE FC7700 C/Arm Bolt&Washer,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,11.99,5.99,NOR,20,FC-7700 crank arm bolt and washer,shimanospareslogo,Y,1,SHM,N,,5.99,JP,1,5.99,1,0,1,0,1,0,1,0
16P 9802,SPRE FC7700 C/Arm Cap & Washer,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,7.99,3.99,NOR,20,FC-7700 crank arm cap and washer,shimanospareslogo,Y,1,SHM,N,,3.99,JP,1,3.99,1,0,1,0,1,0,1,0
16S 4600,C/RING FC7710 46T - 1/2 x 3/32,4.52467E+12,silver,46T,Shimano Spares,FPTRAD,Each,97.99,58.8,NOR,20,FC-7710 Dura-Ace Track chainring 46T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,58.8,JP,1,58.8,1,0,1,0,1,0,1,0
16S 4600-1,C/RING FC7710 46T 1/2 x 1/8,4.52467E+12,silver,46T,Shimano Spares,FPTRAD,Each,97.99,58.8,NOR,20,FC-7710 Dura-Ace Track chainring 46T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,58.8,JP,1,58.8,1,0,1,0,1,0,1,0
16S 4700,C/RING FC7710 47T - 1/2 x 3/32,4.52467E+12,silver,47T,Shimano Spares,FPTRAD,Each,102.99,61.8,NOR,20,FC-7710 Dura-Ace Track chainring 47T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,61.8,JP,1,61.8,1,0,1,0,1,0,1,0
16S 4700-1,C/RING FC7710 47T 1/2 x 1/8,4.52467E+12,silver,47T,Shimano Spares,FPTRAD,Each,102.99,61.8,NOR,20,FC-7710 Dura-Ace Track chainring 47T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,61.8,JP,1,61.8,1,0,1,0,1,0,1,0
16S 4800,C/RING FC7710 48T - 1/2 x 3/32,4.52467E+12,silver,48T,Shimano Spares,FPTRAD,Each,102.99,61.8,NOR,20,FC-7710 Dura-Ace Track chainring 48T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,61.8,JP,1,61.8,1,0,1,0,1,0,1,0
16S 4800-1,C/RING FC7710 48T 1/2 x 1/8,4.52467E+12,silver,48T,Shimano Spares,FPTRAD,Each,102.99,61.8,NOR,20,FC-7710 Dura-Ace Track chainring 48T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,61.8,JP,1,61.8,1,0,1,0,1,0,1,0
16S 4900,C/RING FC7710 49T - 1/2 x 3/32,4.52467E+12,silver,49T,Shimano Spares,FPTRAD,Each,107.99,64.8,NOR,20,FC-7710 Dura-Ace Track chainring 49T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,64.8,JP,1,64.8,1,0,1,0,1,0,1,0
16S 4900-1,C/RING FC7710 49T 1/2 x 1/8,4.52467E+12,silver,49T,Shimano Spares,FPTRAD,Each,107.99,64.8,NOR,20,FC-7710 Dura-Ace Track chainring 49T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,64.8,JP,1,64.8,1,0,1,0,1,0,1,0
16S 5000,C/RING FC7710 50T 1/2 x 3/32,4.52467E+12,silver,50T,Shimano Spares,FPTRAD,Each,107.99,64.8,NOR,20,FC-7710 Dura-Ace Track chainring 50T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,64.8,JP,1,64.8,1,0,1,0,1,0,1,0
16S 5000-1,C/RING FC7710 50T 1/2 x 1/8,4.52467E+12,silver,50T,Shimano Spares,FPTRAD,Each,107.99,64.8,NOR,20,FC-7710 Dura-Ace Track chainring 50T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,64.8,JP,1,64.8,1,0,1,0,1,0,1,0
16S 5100,C/RING FC7710 51T 1/2 x 3/32,4.52467E+12,silver,51T,Shimano Spares,FPTRAD,Each,112.99,67.8,NOR,20,FC-7710 Dura-Ace Track chainring 51T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,67.8,JP,1,67.8,1,0,1,0,1,0,1,0
16S 5100-1,C/RING FC7710 51T 1/2 x 1/8,4.52467E+12,silver,51T,Shimano Spares,FPTRAD,Each,112.99,67.8,NOR,20,FC-7710 Dura-Ace Track chainring 51T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,67.8,JP,1,67.8,1,0,1,0,1,0,1,0
16S 5200,C/RING FC7710 52T 1/2 x 3/32,4.52467E+12,silver,52T,Shimano Spares,FPTRAD,Each,112.99,67.8,NOR,20,FC-7710 Dura-Ace Track chainring 52T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,67.8,JP,1,67.8,1,0,1,0,1,0,1,0
16S 5200-1,C/RING FC7710 52T 1/2 x 1/8,4.52467E+12,silver,52T,Shimano Spares,FPTRAD,Each,112.99,67.8,NOR,20,FC-7710 Dura-Ace Track chainring 52T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,67.8,JP,1,67.8,1,0,1,0,1,0,1,0
16S 5300,C/RING FC7710 53T - 1/2 x 3/32,4.52467E+12,silver,53T,Shimano Spares,FPTRAD,Each,117.99,70.8,NOR,20,FC-7710 Dura-Ace Track chainring 53T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,70.8,JP,1,70.8,1,0,1,0,1,0,1,0
16S 5300-1,C/RING FC7710 53T 1/2 x 1/8,4.52467E+12,silver,53T,Shimano Spares,FPTRAD,Each,117.99,70.8,NOR,20,FC-7710 Dura-Ace Track chainring 53T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,70.8,JP,1,70.8,1,0,1,0,1,0,1,0
16S 5400,C/RING FC7710 54T - 1/2 x 3/32,4.52467E+12,silver,54T,Shimano Spares,FPTRAD,Each,117.99,70.8,NOR,20,FC-7710 Dura-Ace Track chainring 54T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,70.8,JP,1,70.8,1,0,1,0,1,0,1,0
16S 5400-1,C/RING FC7710 54T 1/2 x 1/8,4.52467E+12,silver,54T,Shimano Spares,FPTRAD,Each,117.99,70.8,NOR,20,FC-7710 Dura-Ace Track chainring 54T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,70.8,JP,1,70.8,1,0,1,0,1,0,1,0
16S 5500,C/RING FC7710 55T - 1/2 x 3/32,4.52467E+12,silver,55T,Shimano Spares,FPTRAD,Each,117.99,70.8,NOR,20,FC-7710 Dura-Ace Track chainring 55T 1/2 x 3/32 inch,16s-5000,Y,1,SHM,N,,70.8,JP,1,70.8,1,0,1,0,1,0,1,0
16S 5500-1,C/RING FC7710 55T 1/2 x 1/8,4.52467E+12,silver,55T,Shimano Spares,FPTRAD,Each,117.99,70.8,NOR,20,FC-7710 Dura-Ace Track chainring 55T 1/2 x 1/8 inch,16s-5000,Y,1,SHM,N,,70.8,JP,1,70.8,1,0,1,0,1,0,1,0
16S 9801,SPRE FC7710 C/Ring Bolts 5pcs,4.52467E+12,silver,6mm,Shimano Spares,FPTRAD,Pack of 5,20.99,11.37,NOR,20,FC-7710 chainring bolts M8 x 6 mm (set of 5),16s-9801,Y,1,SHM,N,,11.37,JP,1,11.37,1,0,1,0,1,0,1,0
16V 9801,SPRE FC5500 C/Arm Bolt&Washer,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,7.99,3.99,NOR,20,FC-5500 crank arm bolt and washer,shimanospareslogo,Y,1,SHM,Y,,3.99,JP,1,3.99,1,0,1,0,1,0,1,0
1CY 9802,SPRE FCMC40 C/Guard Bolts 4pcs,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Pack of 4,3.99,2.33,NOR,20,FC-MC40 chainguard fixing bolts (set of 4),shimanospareslogo,Y,1,SHM,N,,2.33,JP,1,2.33,1,0,1,0,1,0,1,0
1D2 9801,SPRE FCT411 chainguard fixbolt Pk4,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Pack of 4,1.99,1.16,NOR,20,FC-T411 chain ring bolts 4 piece,shimanospareslogo,Y,1,SHM,Y,,1.16,JP,1,1.16,1,0,1,0,1,0,1,0
1E5 1110,SPRE FCMX70 crank arm fix bolt,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,14.99,8.75,NOR,20,FC-MX70 crank arm fixing bolt,shimanospareslogo,Y,1,SHM,N,,8.75,JP,1,8.75,1,0,1,0,1,0,1,0
1E5 1210,SPRE FC7800 Clamp Bolt,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-7800 clamp bolt,shimanospareslogo,Y,1,SHM,N,,1.74,JP,1,1.74,1,0,1,0,1,0,1,0
1E5 9821,SPRE FCM960 B/Bracket Sleeve,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,4.99,2.91,NOR,20,FC-M960 bottom bracket sleeve,shimanospareslogo,Y,1,SHM,N,,2.91,JP,1,2.91,1,0,1,0,1,0,1,0
1F3 1600,SPRE FC7800/M760 Ring,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-7800 / M760 ring,shimanospareslogo,Y,1,SHM,N,,1.74,JP,1,1.74,1,0,1,0,1,0,1,0
1F8 1110,SPRE FCM582 C/arm bolt,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-M582 crank arm fixing bolt,shimanospareslogo,Y,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
1F8 1300,SPRE FC-M760 spacer 2.5mm,4.52467E+12,black,2.5mm,Shimano Spares,FPTRAA,Each,2.99,1.74,NOR,20,"FC-M760 spacer, 2.5 mm",1F81300,Y,1,SHM,N,,1.74,JP,1,1.74,1,0,1,0,1,0,1,0
1F8 1310,SPRE FCM761 BB spacer 1.8 mm,4.52467E+12,black,1.8mm,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-M761 bottom bracket spacer 1.8 mm,shimanospareslogo,N,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
1F8 1311,SPRE FCM761 BB spacer 0.7 mm,4.52467E+12,black,0.7mm,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-M761 bottom bracket spacer 0.7 mm,shimanospareslogo,Y,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
1F8 9801,SPRE FCM760/800 Bolt/Washer,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,3.99,2.33,NOR,20,FC-M760 / 800 bolt and washer,shimanospareslogo,Y,1,SHM,N,,2.33,JP,1,2.33,1,0,1,0,1,0,1,0
1FB 1000,SPRE FCM800 Bash Guard,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,11.99,7,NOR,20,FC-M800 bash guard,shimanospareslogo,Y,1,SHM,Y,,7,JP,1,7,1,0,1,0,1,0,1,0
1FM 9802,SPRE FCM540 Outer C/Ring bolts PK4,4.52467E+12,black,M8x8.5mm,Shimano Spares,FPTRAF,Pack of 4,11.99,7,NOR,20,FC-M540 double chainring fixing bolts and nuts - M8 x 8.5 mm - (set of 4),shimanospareslogo,Y,1,SHM,N,,7,MY,1,7,1,0,1,0,1,0,1,0
1FM 9803,SPRE FC4700 Inner C/Ring bolts Pk4,4.52467E+12,black,8.5mm,Shimano Spares,FPTRAF,Pack of 4,8.99,5.25,NOR,20,FC-4700 inner chainring fixing bolts - M8 8.5 mm (pack of 4),shimanospareslogo,N,1,SHM,N,,5.25,MY,1,5.25,1,0,1,0,1,0,1,0
1FU 9812,SPRE FCM580 security plate,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-M580 security plate,shimanospareslogo,Y,1,SHM,N,,1.74,JP,1,1.74,1,0,1,0,1,0,1,0
1G3 9815,SPRE BB6600 BB Sleeve & o-ring,4.52467E+12,black,one size,Shimano Spares,FPTRAA,Each,4.99,2.91,NOR,20,BB-6600 bottom bracket sleeve and O-ring,1G39815,Y,1,SHM,N,,2.91,JP,1,2.91,1,0,1,0,1,0,1,0
1GE 9805,SPRE FC5600 security plate,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,1.49,0.87,NOR,20,FC-5600 Security Plate,shimanospareslogo,N,1,SHM,N,,0.87,JP,1,0.87,1,0,1,0,1,0,1,0
1GF 1100,SPRE FC5603 spacer 3mm,4.52467E+12,black,3mm,Shimano Spares,FPTRAF,Each,3.99,2.33,NOR,20,FC-5603 spacer 3 mm,shimanospareslogo,Y,1,SHM,Y,,2.33,JP,1,2.33,1,0,1,0,1,0,1,0
1GM 9802,C/RING FCM410 4 arm 32T SR,4.52467E+12,silver,32T,Shimano Spares,FPTRAD,Each,16.99,7.79,NOR,20,FC-M410 chainring 32T - silver,Y1GM98020,Y,1,SHM,Y,,7.79,MY,1,7.79,1,0,1,0,1,0,1,0
1GS 1400,SPRE SMBB91-41A spacer 2.5mm,4.52467E+12,black,2.5mm,Shimano Spares,FPTRAA,Each,3.99,2.33,NOR,20,"SM-BB91-41A spacer, 2.5 mm",1GS1400,Y,1,SHM,N,,2.33,JP,1,2.33,1,0,1,0,1,0,1,0
1GX 9805,C/RING FCM530 4 arm 44T BK,4.52467E+12,black,44T,Shimano Spares,FPTRAD,Each,34.99,17.5,NOR,20,FC-M530 chainring 44T - black,y1gx98050,Y,1,SHM,Y,,17.5,MY,1,17.5,1,0,1,0,1,0,1,0
1GX 9806,C/RING FCM530 CG mount 44T BK,4.52467E+12,black,44T,Shimano Spares,FPTRAD,Each,34.99,17.5,NOR,20,"FC-M530 chainring chain guard compatible, 44T, black",y1gx98060,Y,1,SHM,N,,17.5,MY,1,17.5,1,0,1,0,1,0,1,0
1GX 9809,C/RING FCM530 4 arm 48T BK,4.52467E+12,black,48T,Shimano Spares,FPTRAD,Each,34.99,17.5,NOR,20,FC-M530 chainring 48T - black,y1gx98090,Y,1,SHM,Y,,17.5,MY,1,17.5,1,0,1,0,1,0,1,0
1H5 1600,SPRE FCM970 Adj nut fix bolt,4.52467E+12,black,M3x9mm,Shimano Spares,FPTRAF,Each,1.99,1.16,NOR,20,FC-M970 adjust nut fixing bolt M3 x 9 mm,shimanospareslogo,Y,1,SHM,Y,,1.16,JP,1,1.16,1,0,1,0,1,0,1,0
1H5 9816,SPRE FCR9100/8000 Inner C/Ring bolts Pk4,4.52467E+12,black,10.1mm,Shimano Spares,FPTRAF,Pack of 4,12.99,7.58,NOR,20,FC-R9100/8000 inner chainring fixing bolt - M8 x 10.1 mm (set 4),shimanospareslogo,Y,1,SHM,N,,7.58,JP,1,7.58,1,0,1,0,1,0,1,0
1H6 3900,C/RING FC4500 39T SR,4.52467E+12,silver,39T,Shimano Spares,FPTRAD,Each,22.99,11.5,NOR,20,FC-4500 Tiagra chainring 39T - silver,Y1H639000,Y,1,SHM,N,,11.5,MY,1,11.5,1,0,1,0,1,0,1,0
1H7 9801,SPRE FC4503 Inner C/Ring bolts Pk5,4.52467E+12,black,8.5mm,Shimano Spares,FPTRAF,Pack of 5,2.99,1.74,NOR,20,FC-4503 inner chainring fixing bolts - M8 x 8.5 mm (pack of 5),shimanospareslogo,N,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
1H9 9801,C/RING FC3403 39T SR,4.52467E+12,silver,39T,Shimano Spares,FPTRAD,Each,14.99,7.5,NOR,20,FC-3403 chainring silver 39T,y1h998010,Y,1,SHM,Y,,7.5,MY,1,7.5,1,0,1,0,1,0,1,0
1HA 9805,C/RING FC4550S 50T 110 pcd SR,4.52467E+12,silver,50T,Shimano Spares,FPTRAD,Each,42.99,21.5,NOR,20,FC-4550-S chainring - 50T - 110 pcd - silver,y1ha98050,Y,1,SHM,N,,21.5,MY,1,21.5,1,0,1,0,1,0,1,0
1HD 3900,C/RING FCS500 39T,4.52467E+12,silver,39T,Shimano Spares,FPTRAD,Each,24.99,11.46,NOR,20,"FC-S500 chainring, 39T",Y1HD39000,Y,1,SHM,N,,11.46,MY,1,11.46,1,0,1,0,1,0,1,0
1HD 3901,C/RING FCS500 dbl guard 39T BK,4.52467E+12,black,39T,Shimano Spares,FPTRAD,Each,17.99,10.5,NOR,20,"FC-S500 chainring for double chain guard, 39T, black",y1hd39010,Y,1,SHM,Y,,10.5,MY,1,10.5,1,0,1,0,1,0,1,0
1HD 6100,SPRE FCS500 chainguard 45T,4.52467E+12,black,45T,Shimano Spares,FPTRAF,Each,41.99,24.5,NOR,20,FC-S500 Alfine chainguard for 45 tooth ring,shimanospareslogo,Y,1,SHM,N,,24.5,MY,1,24.5,1,0,1,0,1,0,1,0
1HD 6101,SPRE FCS500 chainguard 45T BK,4.52467E+12,black,45T,Shimano Spares,FPTRAF,Each,44.99,26.25,NOR,20,FC-S500 top chain guard black for 45T,shimanospareslogo,Y,1,SHM,N,,26.25,MY,1,26.25,1,0,1,0,1,0,1,0
1HD 6201,SPRE FCS500 chainguard 39T BK,4.52467E+12,black,39T,Shimano Spares,FPTRAF,Each,36.99,21.58,NOR,20,FC-S500 top chain guard black for 39T,shimanospareslogo,Y,1,SHM,N,,21.58,MY,1,21.58,1,0,1,0,1,0,1,0
1HD 9802,SPRE FCS500 c/ring fix bolt M8,4.52467E+12,black,M8,Shimano Spares,FPTRAF,Each,8.99,5.25,NOR,20,FC-S500 chain ring fixing bolt set M8,shimanospareslogo,N,1,SHM,N,,5.25,MY,1,5.25,1,0,1,0,1,0,1,0
1HD 9804,SPRE FCS500 C/Ring bolts 5pcs,4.52467E+12,black,8.5mm,Shimano Spares,FPTRAF,Pack of 5,8.99,5.25,NOR,20,FC-S500 chainring bolts black M8 x 8.5 mm and nuts 5 pieces,shimanospareslogo,Y,1,SHM,N,,5.25,MY,1,5.25,1,0,1,0,1,0,1,0
1J2 2600,C/RING FCM771 26T SR,4.52467E+12,silver,26T,Shimano Spares,FPTRAD,Each,16.99,8.5,NOR,20,FC-M771 chainring silver 26T,y1j226000,Y,1,SHM,N,,8.5,JP,1,8.5,1,0,1,0,1,0,1,0
1J8 2200,C/RING FCM532 22T SR,4.52467E+12,silver,22T,Shimano Spares,FPTRAD,Each,7.99,3.99,NOR,20,FC-M532 chainring silver 22T,y1j822000,Y,1,SHM,N,,3.99,MY,1,3.99,1,0,1,0,1,0,1,0
1J8 9807,C/RING FCM532 32T SR,4.52467E+12,silver,32T,Shimano Spares,FPTRAD,Each,14.99,7.5,NOR,20,FC-M532 chainring silver 32T,Y1J898070,Y,1,SHM,N,,7.5,MY,1,7.5,1,0,1,0,1,0,1,0
1J8 9808,C/RING FCM532 36T SR,4.52467E+12,silver,36T,Shimano Spares,FPTRAD,Each,14.99,7.5,NOR,20,FC-M532 chainring silver 36T,shimanospareslogo,N,1,SHM,N,,7.5,MY,1,7.5,1,0,1,0,1,0,1,0
1KF 2200,C/RING FCM660 BK 22T,4.52467E+12,metal grey,22T,Shimano Spares,FPTRAD,Each,9.99,4.99,NOR,20,FC-M660 Chainring Black 22T,Y1KF22000,Y,1,SHM,Y,,4.99,MY,1,4.99,1,0,1,0,1,0,1,0
1KK 1300,SPRE FCM810 C/arm fixing bolt,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,11.99,7,NOR,20,FC-M810 crank arm fixing bolt,shimanospareslogo,Y,1,SHM,N,,7,JP,1,7,1,0,1,0,1,0,1,0
1KK 9804,SPRE FCM810 plate,4.52467E+12,black,one size,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-M810 plate,shimanospareslogo,Y,1,SHM,N,,1.74,JP,1,1.74,1,0,1,0,1,0,1,0
1KS 1300,SPRE FCT661 crank arm fix bolt,4.52467E+12,silver,one size,Shimano Spares,FPTRAF,Each,2.99,1.74,NOR,20,FC-T661 crank arm fixing bolt,1KS_1300,Y,1,SHM,N,,1.74,JP,1,1.74,1,0,1,0,1,0,1,0
1KS 2600,C/RING FCM660 BK 26T,4.52467E+12,metal grey,26T,Shimano Spares,FPTRAD,Each,9.99,4.99,NOR,20,FC-M660 Chainring Black 26T,Y1KS26000,Y,1,SHM,N,,4.99,JP,1,4.99,1,0,1,0,1,0,1,0
